,Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
0,ALBANY FIRE DEPARTMENT,1001,26 BROAD STREET,ALBANY,NY,12202-0000,1,Albany,5184477879.0,42.662577,-73.75989799999999,"(42.662577, -73.759898)"
1,ALTAMONT FIRE DEPARTMENT,1002,115 MAIN STREET PO BOX 642,ALTAMONT,NY,12009,1,Albany,5188618171.0,42.702865,-74.02531,"(42.702865, -74.02531)"
2,BERNE FIRE DEPARTMENT,1003,CANADAY ROAD,BERNE,NY,12023,1,Albany,5188720470.0,42.612842,-74.070082,"(42.612842, -74.070082)"
3,BOGHT COMMUNITY FIRE DEPARTMENT,1004,1095 LOUDON ROAD,COHOES,NY,12047,1,Albany,5187850339.0,42.783571,-73.74396899999999,"(42.783571, -73.743969)"
4,COEYMANS FIRE DEPARTMENT,1005,67 CHURCH STREET,COEYMANS,NY,12045,1,Albany,5187562027.0,42.474106,-73.79883199999999,"(42.474106, -73.798832)"
5,COEYMANS HOLLOW FIRE DEPARTMENT,1006,1290 ROUTE 143,COEYMANS HOLLOW,NY,12046,1,Albany,5187566310.0,42.480340000000005,-73.92286,"(42.48034, -73.92286)"
6,COHOES FIRE DEPARTMENT,1007,97 MOHAWK STREET,COHOES,NY,12047,1,Albany,5182372125.0,42.774511,-73.700005,"(42.774511, -73.700005)"
7,COLONIE FIRE DEPARTMENT,1008,1631 CENTRAL AVENUE,ALBANY,NY,12205,1,Albany,5188699306.0,42.719291999999996,-73.83469699999999,"(42.719292, -73.834697)"
8,DELMAR FIRE DEPARTMENT,1009,145 ADAMS STREET,DELMAR,NY,12054,1,Albany,5184757310.0,42.621806,-73.83503,"(42.621806, -73.83503)"
9,ELSMERE FIRE DEPARTMENT,1010,15 WEST POPLAR DRIVE,DELMAR,NY,12054,1,Albany,5184399144.0,42.624501,-73.81962299999999,"(42.624501, -73.819623)"
10,FORT HUNTER FIRE DEPARTMENT,1011,3525 CARMAN ROAD,SCHENECTADY,NY,12303,1,Albany,5183552434.0,42.7403,-73.942101,"(42.7403, -73.942101)"
11,FULLER ROAD FIRE DEPARTMENT,1012,1342 CENTRAL AVENUE,ALBANY,NY,12205,1,Albany,5184894421.0,42.702595,-73.81580799999999,"(42.702595, -73.815808)"
12,GREEN ISLAND FIRE DEPARTMENT,1013,7  CLINTON STREET,GREEN ISLAND,NY,12183,1,Albany,5182731041.0,42.742022,-73.692784,"(42.742022, -73.692784)"
13,GUILDERLAND FIRE DEPARTMENT,1014,2303 WESTERN AVE,GUILDERLAND,NY,12084,1,Albany,5184565000.0,42.703916,-73.91060999999999,"(42.703916, -73.91061)"
14,GUILDERLAND CENTER FIRE DEPT,1015,30 SCHOOL ROAD,GUILDERLAND CENTER,NY,12085,1,Albany,5188618871.0,42.701834000000005,-73.966158,"(42.701834, -73.966158)"
15,KNOX FIRE DEPARTMENT,1016,2198 BERNE ALTAMONT ROAD,KNOX,NY,12107,1,Albany,5188720368.0,42.668944,-74.119396,"(42.668944, -74.119396)"
16,LATHAM FIRE DEPARTMENT,1017,226 OLD LOUDON ROAD,LATHAM,NY,12110,1,Albany,5187855060.0,42.748925,-73.758425,"(42.748925, -73.758425)"
17,MEDUSA FIRE DEPARTMENT,1018,458 CR 351,MEDUSA,NY,12120,1,Albany,5182396006.0,42.436845,-74.12705,"(42.436845, -74.12705)"
18,MAPLEWOOD FIRE DEPARTMENT,1019,61 COHOES ROAD,WATERVLIET,NY,12189,1,Albany,5182731200.0,42.746005,-73.700941,"(42.746005, -73.700941)"
19,MC KOWNVILLE FIRE DEPARTMENT,1020,1250 WESTERN AVENUE,ALBANY,NY,12203,1,Albany,5184894340.0,42.67876,-73.830528,"(42.67876, -73.830528)"
20,MENANDS FIRE DEPARTMENT,1021,250 BROADWAY,MENANDS,NY,12204,1,Albany,5184639494.0,42.68282,-73.73486,"(42.68282, -73.73486)"
21,MIDWAY FIRE DEPARTMENT,1022,1956 CENTRAL AVENUE,ALBANY,NY,12205,1,Albany,5184561993.0,42.739022999999996,-73.857362,"(42.739023, -73.857362)"
22,NEW SALEM FIRE DEPARTMENT,1023,694 NEW SALEM ROAD,VOORHEESVILLE,NY,12186,1,Albany,5187652244.0,42.625059,-73.968935,"(42.625059, -73.968935)"
23,NORTH BETHLEHEM FIRE DEPARTMENT,1024,589 RUSSELL ROAD,ALBANY,NY,12203,1,Albany,5184896556.0,42.664105,-73.84205,"(42.664105, -73.84205)"
24,ONESQUETHAW FIRE DEPARTMENT,1025,2178 TARRYTOWN RD PO BOX E,CLARKSVILLE,NY,12041,1,Albany,5184682823.0,42.57541,-73.96359,"(42.57541, -73.96359)"
25,RAVENA FIRE DEPARTMENT,1026,116 MAIN STREET PO BOX 207,RAVENA,NY,12143,1,Albany,5187562089.0,42.471694,-73.810532,"(42.471694, -73.810532)"
26,RENSSELAERVILLE FIRE DEPARTMENT,1027,21 RICE RD PO BOX 134,RENSSELAERVILLE,NY,12147,1,Albany,5187975269.0,42.518434,-74.138762,"(42.518434, -74.138762)"
27,SCHUYLER HEIGHTS FIRE DEPT,1028,900 FIRST STREET,WATERVLIET,NY,12189,1,Albany,5182717851.0,42.710658,-73.72010300000001,"(42.710658, -73.720103)"
28,SELKIRK FIRE DEPARTMENT,1029,126 MAPLE AVENUE,SELKIRK,NY,12158,1,Albany,5184360534.0,42.53155,-73.795146,"(42.53155, -73.795146)"
29,SHAKER RD-LOUDONVILLE FIRE DEPT,1030,550 ALBANY-SHAKER ROAD,LOUDONVILLE,NY,12211,1,Albany,5184581499.0,42.715127,-73.784522,"(42.715127, -73.784522)"
30,SLINGERLANDS FIRE DEPARTMENT,1031,PO BOX 99,SLINGERLANDS,NY,12159,1,Albany,5184394734.0,42.62985,-73.86216800000001,"(42.62985, -73.862168)"
31,STANFORD HEIGHTS FIRE DEPARTMENT,1032,2240 CENTRAL AVENUE,SCHENECTADY,NY,12304,1,Albany,5183467948.0,42.764326000000004,-73.8861,"(42.764326, -73.8861)"
32,TRI-VILLAGE FIRE DEPARTMENT,1033,3096 CO RTE 145 PO BOX 575,PRESTON HOLLOW,NY,12469,1,Albany,5182396780.0,42.446314,-74.20966899999999,"(42.446314, -74.209669)"
33,VERDOY FIRE DEPARTMENT,1034,988 TROY SCHENECTADY ROAD,LATHAM,NY,12110,1,Albany,5187857291.0,42.763506,-73.800801,"(42.763506, -73.800801)"
34,VOORHEESVILLE FIRE DEPARTMENT,1035,12 ALTAMONT RD PO BOX 525,VOORHEESVILLE,NY,12186,1,Albany,5187654048.0,42.650819,-73.93775600000001,"(42.650819, -73.937756)"
35,WATERVLIET FIRE DEPARTMENT,1036,FIRE HEADQRTRS 116 13TH ST,WATERVLIET,NY,12189,1,Albany,5182703826.0,42.723228000000006,-73.702914,"(42.723228, -73.702914)"
36,WEST ALBANY FIRE DEPARTMENT,1038,113 SAND CREEK ROAD,ALBANY,NY,12205,1,Albany,5184216624.0,42.692166,-73.785673,"(42.692166, -73.785673)"
37,WESTERLO FIRE DEPARTMENT,1039,591 ST RTE 143 PO BOX 87,WESTERLO,NY,12193,1,Albany,5187973321.0,42.51526,-74.046139,"(42.51526, -74.046139)"
38,WESTMERE FIRE DEPARTMENT,1040,1732 WESTERN AVENUE,ALBANY,NY,12203,1,Albany,5184566734.0,42.688815999999996,-73.861582,"(42.688816, -73.861582)"
39,A E  CRANDALL HOOK AND LADDER CO,2001,8 S MAIN ST BOX 582,ALFRED,NY,14802,2,Allegany,6075878880.0,42.254065000000004,-77.790323,"(42.254065, -77.790323)"
