,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
0,Engine 4/Ladder 15,42 South Street,Manhattan,10005.0,40.703466,-74.007538,1.0,1.0,7.0,1000867.0,1000350001.0,Battery Park City-Lower Manhattan                                          
1,Engine 10/Ladder 10,124 Liberty Street,Manhattan,10006.0,40.710072,-74.012523,1.0,1.0,13.0,1075700.0,1000520022.0,Battery Park City-Lower Manhattan                                          
2,Engine 6,49 Beekman Street,Manhattan,10038.0,40.710048,-74.005245,1.0,1.0,1501.0,1001287.0,1000930030.0,Battery Park City-Lower Manhattan                                          
3,Engine 7/Ladder 1/Battalion 1/Manhattan Borough Command,100-104 Duane Street,Manhattan,10007.0,40.715463,-74.005938,1.0,1.0,33.0,1001647.0,1001500025.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
4,Ladder 8,14 North Moore Street,Manhattan,10013.0,40.719759,-74.00667800000001,1.0,1.0,33.0,1002150.0,1001890035.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
5,Engine 9/Ladder 6,75 Canal Street,Manhattan,10002.0,40.715213,-73.992901,3.0,1.0,16.0,1003898.0,1003000030.0,Chinatown                                                                  
6,Engine 15/Ladder 18/Battalion 4,25 Pitt Street,Manhattan,10002.0,40.716395,-73.983478,3.0,1.0,12.0,1004078.0,1003420060.0,Lower East Side                                                            
7,Engine 28/Ladder 11,222 East 2nd Street,Manhattan,10009.0,40.721682,-73.98262199999999,3.0,2.0,2202.0,1004608.0,1003850058.0,Lower East Side                                                            
8,Engine 5,340 East 14th Street,Manhattan,10003.0,40.731752,-73.983536,3.0,2.0,40.0,1006520.0,1004550028.0,East Village                                                               
9,Engine 55,363 Broome Street,Manhattan,10013.0,40.720033,-73.995689,2.0,1.0,41.0,1066722.0,1004700012.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
10,Ladder 20/Division 1,253 Lafayette Street,Manhattan,10012.0,40.723071999999995,-73.996804,2.0,1.0,43.0,1007523.0,1004950007.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
11,Engine 24/Ladder 5/Battalion 2,227-29 6th Avenue,Manhattan,10014.0,40.727914,-74.003157,2.0,3.0,37.0,1080044.0,1005200037.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
12,Engine 33/Ladder 9,42 Great Jones Street,Manhattan,10012.0,40.726815,-73.992643,2.0,1.0,5502.0,1008526.0,1005310049.0,West Village                                                               
13,Ladder 3/Battalion 6,108 East 13th Street,Manhattan,10003.0,40.733329,-73.989421,3.0,2.0,42.0,1009010.0,1005580011.0,East Village                                                               
14,Squad 18,132 West 10th Street,Manhattan,10014.0,40.734625,-74.000346,2.0,3.0,71.0,1010686.0,1006100051.0,West Village                                                               
15,Engine 34/Ladder 21,440 West 38th Street,Manhattan,10018.0,40.756634999999996,-73.996217,4.0,3.0,111.0,1012982.0,1007350061.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
16,Engine 26,220 West 37th Street,Manhattan,10018.0,40.753239,-73.990078,5.0,3.0,109.0,1014447.0,1007860061.0,Midtown-Midtown South                                                      
17,Engine 3/Ladder 12/Battalion 7,150 West 19th Street,Manhattan,10011.0,40.741044,-73.996041,4.0,3.0,87.0,1014724.0,1007940066.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
18,Engine 1/Ladder 24,142-46 West 31st Street,Manhattan,10001.0,40.74843,-73.990447,5.0,3.0,101.0,1015173.0,1008060066.0,Midtown-Midtown South                                                      
19,Engine 14,14 East 18th Street,Manhattan,10003.0,40.738143,-73.990964,5.0,2.0,52.0,1016141.0,1008460066.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
20,Engine 16 / Ladder 7 ,234 East 29th Street,Manhattan,10016.0,40.742209,-73.979535,6.0,2.0,66.0,1019903.0,1009090035.0,Murray Hill-Kips Bay                                                       
21,Engine 21,238 East 40th Street,Manhattan,10016.0,40.748845,-73.973888,6.0,4.0,88.0,1020385.0,1009200042.0,Turtle Bay-East Midtown                                                    
22,Engine 54/Ladder 4/Battalion 9,782 8th Avenue,Manhattan,10036.0,40.760791999999995,-73.98718199999999,5.0,3.0,125.0,1024767.0,1010190061.0,Midtown-Midtown South                                                      
23,Engine 23,215 West 58th Street,Manhattan,10019.0,40.766544,-73.98035,5.0,4.0,137.0,1024915.0,1010300023.0,Midtown-Midtown South                                                      
24,Rescue 1,530 West 43rd Street,Manhattan,10036.0,40.760892,-73.99640500000001,4.0,3.0,129.0,1070109.0,1010710049.0,Clinton                                                                    
25,Engine 40/Ladder 35,131 Amsterdam Avenue  ,Manhattan,10023.0,40.774505,-73.984619,7.0,6.0,149.0,1077844.0,1011377501.0,Lincoln Square                                                             
26,Ladder 25/District Office 4/Division 3,205-207 West 77th Street,Manhattan,10024.0,40.781991999999995,-73.97962700000001,7.0,6.0,163.0,1030885.0,1011690026.0,Upper West Side                                                            
27,Engine 74,120 West 83rd Street ,Manhattan,10024.0,40.784881,-73.974434,7.0,6.0,169.0,1032079.0,1012130041.0,Upper West Side                                                            
