Call type,Call Sub-type,Batallion 1 Total Calls,Batallion 1 Total Units Resp.,Batallion 2 Total Calls,Batallion 2 Total Units Resp.,Batallion 3 Total Calls,Batallion 3 Total Units Resp.,Batallion 4 Total Calls,Batallion 4 Total Units Resp.,Other Total Calls,Other Total Units Resp.,Week #,Year
RESIDENTIAL,Private Dwellings,3,9,7,44,2,8,1,10,,,1,2014
RESIDENTIAL,Apartments,2,8,5,47,1,10,2,11,,,1,2014
RESIDENTIAL,Hotels and Motels,1,4,,,,,,,,,1,2014
RESIDENTIAL,All Other Residential,1,10,,,,,,,,,1,2014
STRUCTURE FIRE,Public Assembly,2,8,,,,,1,10,,,1,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,1,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,2,18,,,,,,,1,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,1,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,1,2014
STRUCTURE FIRE,Storage in Structures,,,,,1,4,1,20,,,1,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,1,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,1,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,1,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,1,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,1,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,1,10,,,,,,,1,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,1,2014
EMERGENCY RESPONSE,Emergency Medical Responses,33,53,114,124,40,43,57,59,,,1,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,1,2014
HAZARD,Hazardous Materials,2,2,6,13,3,10,1,4,,,1,2014
HAZARD,Other HazMat Responses,5,29,3,4,4,4,5,14,,,1,2014
FALSE ALARM,False Alarms (system malfunction/accidental),30,124,20,102,12,60,17,70,,,1,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,1,2014
FALSE ALARM,Other False alarms,52,174,38,81,32,62,45,105,,,1,2014
TRAINING,Training ,,,,,,,,,,,1,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,1,2014
TRAINING,Other events,,,,,,,,,,,1,2014
INSPECTION,Initial Inspections,,,,,,,,,10,,1,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,22,,1,2014
INSPECTION,Registrations,,,,,,,,,,,1,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,2,2,,,,,,,,,1,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,1,2014
FINES,Fines Imposed,,,,,,,,,,,1,2014
FINES,Fines collected,,,,,,,,,,,1,2014
RESIDENTIAL,Private Dwellings,,,3,19,6,41,1,10,,,2,2014
RESIDENTIAL,Apartments,,,3,25,4,16,5,26,,,2,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,2,2014
RESIDENTIAL,All Other Residential,,,,,,,1,9,,,2,2014
STRUCTURE FIRE,Public Assembly,1,4,,,1,13,,,,,2,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,2,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,1,5,,,,,,,2,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,2,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,2,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,2,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,2,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,2,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,2,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,2,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,2,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,10,,,,,,,,,2,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,2,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,40,96,101,53,58,65,72,,,2,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,2,2014
HAZARD,Hazardous Materials,5,18,4,11,,,6,33,,,2,2014
HAZARD,Other HazMat Responses,4,31,2,8,7,7,1,2,,,2,2014
FALSE ALARM,False Alarms (system malfunction/accidental),10,37,12,46,8,41,15,88,,,2,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,2,2014
FALSE ALARM,Other False alarms,34,76,36,97,25,61,25,80,,,2,2014
TRAINING,Training ,,,,,,,,,,,2,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,2,2014
TRAINING,Other events,,,,,,,,,,,2,2014
INSPECTION,Initial Inspections,,,,,,,,,44,,2,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,96,,2,2014
INSPECTION,Registrations,,,,,,,,,,,2,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,,,,,,,,,,,2,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,2,2014
FINES,Fines Imposed,,,,,,,,,,,2,2014
FINES,Fines collected,,,,,,,,,,,2,2014
RESIDENTIAL,Private Dwellings,,,10,84,,,1,10,,,4,2014
RESIDENTIAL,Apartments,2,12,3,18,3,28,4,27,,,4,2014
RESIDENTIAL,Hotels and Motels,,,,,1,22,,,,,4,2014
RESIDENTIAL,All Other Residential,1,4,,,,,1,9,,,4,2014
STRUCTURE FIRE,Public Assembly,,,1,7,,,,,,,4,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,4,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,4,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,1,4,,,4,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,4,2014
STRUCTURE FIRE,Storage in Structures,,,,,1,11,,,,,4,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,4,2014
NON-STRUCTURE FIRE,Highway vehicles,,,1,2,,,1,2,,,4,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,1,2,,,,,4,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,4,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,4,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,10,,,,,,,,,4,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,4,2014
EMERGENCY RESPONSE,Emergency Medical Responses,36,41,92,98,48,60,44,53,,,4,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,4,2014
HAZARD,Hazardous Materials,1,8,4,11,4,8,2,12,,,4,2014
HAZARD,Other HazMat Responses,1,2,3,27,6,16,2,11,,,4,2014
FALSE ALARM,False Alarms (system malfunction/accidental),21,92,17,79,18,78,17,69,,,4,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,4,2014
FALSE ALARM,Other False alarms,27,68,51,120,28,68,35,87,,,4,2014
TRAINING,Training ,,,,,,,,,,,4,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,4,2014
TRAINING,Other events,,,,,,,,,,,4,2014
INSPECTION,Initial Inspections,,,,,,,,,22,,4,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,124,,4,2014
INSPECTION,Registrations,,,,,,,,,,,4,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,18,18,,,,,,,,,4,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,4,2014
FINES,Fines Imposed,,,,,,,,,,,4,2014
FINES,Fines collected,,,,,,,,,,,4,2014
RESIDENTIAL,Private Dwellings,1,8,,,,,,,,,5,2014
RESIDENTIAL,Apartments,,,4,28,4,16,8,67,,,5,2014
RESIDENTIAL,Hotels and Motels,,,,,,,1,4,,,5,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,5,2014
STRUCTURE FIRE,Public Assembly,,,,,,,,,,,5,2014
STRUCTURE FIRE,Schools and Colleges,,,,,1,7,1,8,,,5,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,5,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,5,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,5,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,5,2014
STRUCTURE FIRE,Other Structures,,,,,1,1,,,,,5,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,1,2,,,5,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,5,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,5,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,5,2014
